trip_id,Title,Description,capacity,duration,category,status,price_per_person,start_loc_id,start_date,end_date,operator_id,profileTrip_image_url
TRIP-000001,Escape to Serenity,A rejuvenating getaway designed to immerse you in peace and tranquility. Perfect for those seeking a break from the hustle and bustle of daily life.,5,7,historical,active,4512.28,OCE-000005,23-01-25,30-01-25,OP-000022,https://example.com/trip_image_1.jpg
TRIP-000002,Adventure Awaits,"Experience the thrill of adventure with activities that promise excitement, challenge, and unforgettable memories.",31,14,beach,completed,1671.32,NAM-000005,03-08-25,17-08-25,OP-000047,https://example.com/trip_image_2.jpg
TRIP-000003,Cultural Discovery,"Dive deep into the heart of culture, history, and traditions. Perfect for the curious traveler eager to learn and explore.",18,4,cruise,cancelled,3643.56,EUR-000002,19-08-25,23-08-25,OP-000013,https://example.com/trip_image_3.jpg
TRIP-000004,Wilderness Wonders,Explore breathtaking landscapes and reconnect with nature on this unforgettable journey through the great outdoors.,28,9,mountain,active,3326.45,SAM-000002,22-04-25,01-05-25,OP-000012,https://example.com/trip_image_4.jpg
TRIP-000005,Wellness Retreat,"A holistic retreat focusing on mental, physical, and emotional well-being. Relax, rejuvenate, and rediscover yourself.",31,8,cultural,cancelled,3481.32,EUR-000003,07-08-25,15-08-25,OP-000037,https://example.com/trip_image_5.jpg
TRIP-000006,Foodie’s Paradise,"A culinary journey packed with delectable treats, cooking workshops, and the best food experiences.",29,4,cultural,cancelled,4808.49,SAM-000004,29-03-25,02-04-25,OP-000050,https://example.com/trip_image_6.jpg
TRIP-000007,Romantic Escape,"A perfect trip for couples to celebrate love, with intimate settings, scenic views, and romantic activities.",33,8,wildlife,cancelled,3575.53,EUR-000003,03-12-25,11-12-25,OP-000034,https://example.com/trip_image_7.jpg
TRIP-000008,Thrill Seeker’s Dream,An adrenaline-packed itinerary filled with adventurous activities and breathtaking challenges.,50,9,leisure,active,2824.32,SAM-000002,30-07-25,08-08-25,OP-000019,https://example.com/trip_image_8.jpg
TRIP-000009,Family Fun Fiesta,"A family-friendly journey designed to create memories for all ages, with activities everyone can enjoy.",15,7,beach,completed,2338.16,ANT-000006,11-06-25,18-06-25,OP-000001,https://example.com/trip_image_9.jpg
TRIP-000010,Photography Expedition,"Capture stunning landscapes, iconic sights, and unique moments on this photographer’s dream trip.",21,5,mountain,completed,3010.3,AFR-000010,21-04-25,26-04-25,OP-000026,https://example.com/trip_image_10.jpg
TRIP-000011,Art and Inspiration,"Explore galleries, workshops, and scenic landscapes that spark creativity and ignite your passion for the arts.",34,9,mountain,active,1324.93,EUR-000004,24-04-25,03-05-25,OP-000025,https://example.com/trip_image_11.jpg
TRIP-000012,Luxury Getaway,"Indulge in a lavish escape with first-class accommodations, fine dining, and exclusive experiences.",17,6,wildlife,completed,1909.84,ANT-000008,06-10-25,12-10-25,OP-000023,https://example.com/trip_image_12.jpg
TRIP-000013,Back to Basics,"Simplify your life with a trip focused on rustic living, nature trails, and digital detoxing.",31,12,cultural,active,523.45,SAM-000002,17-01-25,29-01-25,OP-000044,https://example.com/trip_image_13.jpg
TRIP-000014,Solo Sojourn,"A journey crafted for solo travelers seeking adventure, reflection, and meaningful connections.",5,10,beach,cancelled,890.53,AFR-000004,28-12-25,07-01-26,OP-000043,https://example.com/trip_image_14.jpg
TRIP-000015,Educational Expedition,"A learning-focused trip featuring workshops, guided tours, and interactive experiences that educate and inspire.",33,12,mountain,completed,1526.28,SAM-000010,07-06-25,19-06-25,OP-000045,https://example.com/trip_image_15.jpg
TRIP-000016,Eco-Friendly Escape,"Experience the beauty of nature responsibly with sustainable accommodations, activities, and transportation.",23,13,cruise,active,3927.86,ASI-000001,21-08-25,03-09-25,OP-000036,https://example.com/trip_image_16.jpg
TRIP-000017,Spiritual Awakening,"A serene retreat to connect with your inner self, featuring meditation, yoga, and mindfulness activities.",18,9,cultural,completed,1145.86,EUR-000001,24-02-25,05-03-25,OP-000035,https://example.com/trip_image_17.jpg
TRIP-000018,Seasonal Spectacles,Celebrate the beauty of the seasons with trips designed around unique seasonal attractions and activities.,12,3,adventure,cancelled,660.64,ASI-000006,23-05-25,26-05-25,OP-000035,https://example.com/trip_image_18.jpg
TRIP-000019,Off the Beaten Path,Venture to hidden gems and less-traveled destinations for a unique and memorable experience.,10,7,cruise,completed,1110.32,SAM-000004,29-08-25,05-09-25,OP-000021,https://example.com/trip_image_19.jpg
TRIP-000020,Bucket List Blast,Check off those must-see sights and once-in-a-lifetime experiences on this exciting adventure.,48,7,leisure,active,2488.22,ANT-000003,27-12-25,03-01-26,OP-000007,https://example.com/trip_image_20.jpg
TRIP-000021,Wellness Adventure,Combine adventure and wellness with outdoor activities and opportunities to relax and recharge.,18,3,leisure,cancelled,3480.95,ANT-000003,30-09-25,03-10-25,OP-000023,https://example.com/trip_image_21.jpg
TRIP-000022,Stargazing Getaway,A magical escape to dark-sky destinations for the ultimate stargazing experience.,40,13,cultural,completed,1558.75,NAM-000009,01-12-25,14-12-25,OP-000005,https://example.com/trip_image_22.jpg
TRIP-000023,Cruise of Dreams,"Set sail on a luxurious cruise featuring breathtaking views, gourmet dining, and exotic destinations.",34,13,cruise,active,1373.33,OCE-000002,19-02-25,04-03-25,OP-000034,https://example.com/trip_image_23.jpg
TRIP-000024,Heritage Trail,Trace the footsteps of history on a journey exploring ancient landmarks and cultural icons.,38,4,historical,completed,1726.98,ANT-000008,01-04-25,05-04-25,OP-000047,https://example.com/trip_image_24.jpg
TRIP-000025,Yoga and Nature Escape,A serene blend of yoga practice and natural beauty for ultimate relaxation and self-discovery.,37,14,historical,cancelled,2746.88,OCE-000010,10-08-25,24-08-25,OP-000022,https://example.com/trip_image_25.jpg
TRIP-000026,Hidden Treasures,"Discover hidden gems, secluded spots, and secret trails on this one-of-a-kind adventure.",32,6,leisure,cancelled,2116.76,SAM-000006,28-09-25,04-10-25,OP-000048,https://example.com/trip_image_26.jpg
TRIP-000027,Weekend Wanderlust,A short yet impactful getaway perfect for recharging and exploring new horizons.,32,6,cultural,active,906.88,EUR-000010,09-03-25,15-03-25,OP-000033,https://example.com/trip_image_27.jpg
TRIP-000028,Island Paradise,"Bask in the sun on pristine beaches, swim in crystal-clear waters, and enjoy tropical vibes.",33,14,cultural,active,3990.44,ASI-000006,28-12-25,11-01-26,OP-000027,https://example.com/trip_image_28.jpg
TRIP-000029,Rustic Retreat,"Escape to a charming rustic cabin, complete with cozy fireplaces and nature trails.",43,8,mountain,completed,4419.42,ANT-000002,23-02-25,03-03-25,OP-000018,https://example.com/trip_image_29.jpg
TRIP-000030,City Lights and Nights,"Dive into the vibrant nightlife, bustling streets, and iconic landmarks of the world’s greatest cities.",16,13,cultural,cancelled,896.86,ANT-000004,12-02-25,25-02-25,OP-000023,https://example.com/trip_image_30.jpg
TRIP-000031,Fitness and Fun,"A vacation packed with fitness activities, sports, and opportunities for self-improvement.",37,14,cultural,completed,4938.96,SAM-000003,27-01-25,10-02-25,OP-000004,https://example.com/trip_image_31.jpg
TRIP-000032,Wildlife Safari,Embark on a thrilling safari adventure to witness exotic wildlife in their natural habitats.,17,9,cultural,active,3468.2,AFR-000001,10-02-25,19-02-25,OP-000048,https://example.com/trip_image_32.jpg
TRIP-000033,Festival Frenzy,Experience the vibrant culture of a destination by attending its famous festivals and celebrations.,27,12,cruise,cancelled,517.1,NAM-000003,13-03-25,25-03-25,OP-000013,https://example.com/trip_image_33.jpg
TRIP-000034,Cycling Escape,Explore scenic routes and picturesque landscapes on a cycling adventure.,33,12,wildlife,completed,1038.36,ANT-000007,14-01-25,26-01-25,OP-000041,https://example.com/trip_image_34.jpg
TRIP-000035,Fairytale Getaway,"Step into a storybook world with enchanting castles, magical forests, and charming villages.",27,5,beach,completed,3404.14,OCE-000001,09-09-25,14-09-25,OP-000017,https://example.com/trip_image_35.jpg
TRIP-000036,Beach Bonanza,"Soak up the sun, surf, and sand on a fun-filled beach vacation.",23,11,beach,completed,516.95,ANT-000009,26-12-25,06-01-26,OP-000012,https://example.com/trip_image_36.jpg
TRIP-000037,Road Trip Bliss,"Hit the road and discover breathtaking destinations, hidden gems, and roadside attractions.",6,6,wildlife,cancelled,2237.12,AFR-000001,25-03-25,31-03-25,OP-000011,https://example.com/trip_image_37.jpg
TRIP-000038,Geology Expedition,"Explore the wonders of the earth on a journey through caves, canyons, and geological marvels.",48,7,adventure,completed,1006.92,SAM-000009,24-07-25,31-07-25,OP-000009,https://example.com/trip_image_38.jpg
TRIP-000039,Writer’s Retreat,"Find inspiration in a peaceful setting designed for creativity, reflection, and writing.",34,7,beach,active,1555.33,ASI-000007,30-01-25,06-02-25,OP-000041,https://example.com/trip_image_39.jpg
TRIP-000040,Volunteer Vacation,Give back to communities and make a difference while exploring new destinations.,36,9,mountain,completed,3173.75,ANT-000006,16-05-25,25-05-25,OP-000034,https://example.com/trip_image_40.jpg
TRIP-000041,Winter Wonderland,"Enjoy snowy landscapes, cozy cabins, and winter sports in a picturesque destination.",48,11,mountain,cancelled,842.64,EUR-000003,29-01-25,09-02-25,OP-000014,https://example.com/trip_image_41.jpg
TRIP-000042,Desert Dreams,"Experience the magic of the desert with dune safaris, camel rides, and stargazing nights.",37,14,leisure,completed,803.42,OCE-000003,28-06-25,12-07-25,OP-000004,https://example.com/trip_image_42.jpg
TRIP-000043,Rainforest Adventure,"Trek through lush rainforests, discover exotic wildlife, and immerse yourself in nature.",47,14,leisure,completed,3305.15,SAM-000006,21-10-25,04-11-25,OP-000025,https://example.com/trip_image_43.jpg
TRIP-000044,Tech and Innovation Tour,"Explore cutting-edge technology hubs, attend innovation workshops, and witness the future in action.",48,14,mountain,active,3889.09,NAM-000002,03-10-25,17-10-25,OP-000049,https://example.com/trip_image_44.jpg
TRIP-000045,Music and Melody Journey,"Immerse yourself in music festivals, iconic venues, and the cultural roots of musical traditions.",35,9,adventure,active,1424.59,ASI-000010,07-11-25,16-11-25,OP-000042,https://example.com/trip_image_45.jpg
TRIP-000046,Waterfall Wonders,Marvel at the beauty of cascading waterfalls and explore hidden gems around them.,27,12,adventure,completed,688.51,ANT-000006,02-07-25,14-07-25,OP-000029,https://example.com/trip_image_46.jpg
TRIP-000047,Mystery Tour,Embark on a surprise-filled journey where the destination is revealed as you go!,45,14,wildlife,cancelled,1067.18,EUR-000010,06-04-25,20-04-25,OP-000029,https://example.com/trip_image_47.jpg
TRIP-000048,Hiking Haven,"Traverse challenging trails, conquer peaks, and enjoy breathtaking vistas.",34,10,leisure,cancelled,3661.47,AFR-000004,15-06-25,25-06-25,OP-000045,https://example.com/trip_image_48.jpg
TRIP-000049,Yoga and Nature Escape,A serene blend of yoga practice and natural beauty for ultimate relaxation and self-discovery.,26,4,beach,completed,2854.86,OCE-000002,10-11-25,14-11-25,OP-000046,https://example.com/trip_image_49.jpg
TRIP-000050,Yoga and Nature Escape,A serene blend of yoga practice and natural beauty for ultimate relaxation and self-discovery.,36,15,cultural,cancelled,3502.36,EUR-000004,15-10-25,30-10-25,OP-000015,https://example.com/trip_image_50.jpg
